,From,To
729,GBRG3_HUMAN,GABRG3
730,GBRP_HUMAN,GABRP
731,GBRR1_HUMAN,GABRR1
732,GBRR2_HUMAN,GABRR2
733,GBRR3_HUMAN,GABRR3
734,GBRT_HUMAN,GABRQ
735,GDPD2_HUMAN,GDPD2
736,GDPD5_HUMAN,GDPD5
737,GFRA1_HUMAN,GFRA1
738,GFRA2_HUMAN,GFRA2
739,GFRA3_HUMAN,GFRA3
740,GFRA4_HUMAN,GFRA4
741,GFRAL_HUMAN,GFRAL
742,GFY_HUMAN,GFY
743,GGT1_HUMAN,GGT1
744,GGT3_HUMAN,GGT3P
745,GGT7_HUMAN,GGT7
746,GHRHR_HUMAN,GHRHR
747,GHR_HUMAN,GHR
748,GHSR_HUMAN,GHSR
749,GINM1_HUMAN,GINM1
750,GIPR_HUMAN,GIPR
751,GLDN_HUMAN,GLDN
752,GLIP1_HUMAN,GLIPR1
753,GLP1R_HUMAN,GLP1R
754,GLP2R_HUMAN,GLP2R
755,GLPA_HUMAN,GYPA
756,GLPC_HUMAN,GYPC
757,GLRA1_HUMAN,GLRA1
758,GLRA2_HUMAN,GLRA2
759,GLRA3_HUMAN,GLRA3
760,GLRB_HUMAN,GLRB
761,GLR_HUMAN,GCGR
762,GML_HUMAN,GML
763,GNRHR_HUMAN,GNRHR
764,GNRR2_HUMAN,GNRHR2
765,GOLI_HUMAN,RNF130
766,GP101_HUMAN,GPR101
767,GP107_HUMAN,GPR107
768,GP108_HUMAN,GPR108
769,GP119_HUMAN,GPR119
770,GP132_HUMAN,GPR132
771,GP139_HUMAN,GPR139
772,GP141_HUMAN,GPR141
773,GP142_HUMAN,GPR142
774,GP143_HUMAN,GPR143
775,GP146_HUMAN,GPR146
776,GP148_HUMAN,GPR148
777,GP149_HUMAN,GPR149
778,GP150_HUMAN,GPR150
779,GP151_HUMAN,GPR151
780,GP152_HUMAN,GPR152
781,GP153_HUMAN,GPR153
782,GP155_HUMAN,GPR155
783,GP156_HUMAN,GPR156
784,GP157_HUMAN,GPR157
785,GP158_HUMAN,GPR158
786,GP160_HUMAN,GPR160
787,GP161_HUMAN,GPR161
788,GP162_HUMAN,GPR162
789,GP171_HUMAN,GPR171
790,GP173_HUMAN,GPR173
791,GP174_HUMAN,GPR174
792,GP176_HUMAN,GPR176
793,GP179_HUMAN,GPR179
794,GP180_HUMAN,GPR180
795,GP182_HUMAN,GPR182
796,GP183_HUMAN,GPR183
797,GP1BA_HUMAN,GP1BA
798,GP1BB_HUMAN,GP1BB
799,GP2_HUMAN,GP2
800,GPA33_HUMAN,GPA33
801,GPBAR_HUMAN,GPBAR1
802,GPC1_HUMAN,GPC1
803,GPC2_HUMAN,GPC2
804,GPC3_HUMAN,GPC3
805,GPC4_HUMAN,GPC4
806,GPC5B_HUMAN,GPRC5B
807,GPC5C_HUMAN,GPRC5C
808,GPC5D_HUMAN,GPRC5D
809,GPC5_HUMAN,GPC5
810,GPC6A_HUMAN,GPRC6A
811,GPC6_HUMAN,GPC6
812,GPER1_HUMAN,GPER1
813,GPM6A_HUMAN,GPM6A
814,GPM6B_HUMAN,GPM6B
815,GPNMB_HUMAN,GPNMB
816,GPR12_HUMAN,GPR12
817,GPR15_HUMAN,GPR15
818,GPR17_HUMAN,GPR17
819,GPR18_HUMAN,GPR18
820,GPR19_HUMAN,GPR19
821,GPR20_HUMAN,GPR20
822,GPR21_HUMAN,GPR21
823,GPR22_HUMAN,GPR22
824,GPR25_HUMAN,GPR25
825,GPR26_HUMAN,GPR26
826,GPR27_HUMAN,GPR27
827,GPR31_HUMAN,GPR31
828,GPR32_HUMAN,GPR32
829,GPR33_HUMAN,GPR33
830,GPR34_HUMAN,GPR34
831,GPR35_HUMAN,GPR35
832,GPR37_HUMAN,GPR37
833,GPR39_HUMAN,GPR39
834,GPR3_HUMAN,GPR3
835,GPR42_HUMAN,GPR42
836,GPR45_HUMAN,GPR45
837,GPR4_HUMAN,GPR4
838,GPR52_HUMAN,GPR52
839,GPR55_HUMAN,GPR55
840,GPR61_HUMAN,GPR61
841,GPR62_HUMAN,GPR62
842,GPR63_HUMAN,GPR63
843,GPR6_HUMAN,GPR6
844,GPR75_HUMAN,GPR75
845,GPR78_HUMAN,GPR78
846,GPR82_HUMAN,GPR82
847,GPR83_HUMAN,GPR83
848,GPR84_HUMAN,GPR84
849,GPR85_HUMAN,GPR85
850,GPR87_HUMAN,GPR87
851,GPR88_HUMAN,GPR88
852,GPVI_HUMAN,GP6
853,GPV_HUMAN,GP5
854,GRIA1_HUMAN,GRIA1
855,GRIA2_HUMAN,GRIA2
856,GRIA3_HUMAN,GRIA3
857,GRIA4_HUMAN,GRIA4
858,GRID1_HUMAN,GRID1
859,GRID2_HUMAN,GRID2
860,GRIK1_HUMAN,GRIK1
861,GRIK2_HUMAN,GRIK2
862,GRIK3_HUMAN,GRIK3
863,GRIK4_HUMAN,GRIK4
864,GRIK5_HUMAN,GRIK5
865,GRM1_HUMAN,GRM1
866,GRM2_HUMAN,GRM2
867,GRM3_HUMAN,GRM3
868,GRM4_HUMAN,GRM4
869,GRM5_HUMAN,GRM5
870,GRM6_HUMAN,GRM6
871,GRM7_HUMAN,GRM7
872,GRM8_HUMAN,GRM8
873,GRPR_HUMAN,GRPR
874,GSG1L_HUMAN,GSG1L
875,GSG1_HUMAN,GSG1
876,GTR10_HUMAN,SLC2A10
877,GTR11_HUMAN,SLC2A11
878,GTR12_HUMAN,SLC2A12
879,GTR14_HUMAN,SLC2A14
880,GTR1_HUMAN,SLC2A1
881,GTR2_HUMAN,SLC2A2
882,GTR3_HUMAN,SLC2A3
883,GTR5_HUMAN,SLC2A5
884,GTR6_HUMAN,SLC2A6
885,GTR7_HUMAN,SLC2A7
886,GTR8_HUMAN,SLC2A8
887,GTR9_HUMAN,SLC2A9
888,GUC2C_HUMAN,GUCY2C
889,HAVR1_HUMAN,HAVCR1
890,HAVR2_HUMAN,HAVCR2
891,HBEGF_HUMAN,HBEGF
892,HCAR1_HUMAN,HCAR1
893,HCAR2_HUMAN,HCAR2
894,HCAR3_HUMAN,HCAR3
895,HDBP1_HUMAN,GPIHBP1
896,HECA2_HUMAN,HEPACAM2
897,HECAM_HUMAN,HEPACAM
898,HEG1_HUMAN,HEG1
899,HEPH_HUMAN,HEPH
900,HFE_HUMAN,HFE
901,HG2A_HUMAN,CD74
902,HHLA2_HUMAN,HHLA2
903,HIDE1_HUMAN,HIDE1
904,HLAE_HUMAN,HLA-E
905,HLAF_HUMAN,HLA-F
906,HLAG_HUMAN,HLA-G
907,HLAH_HUMAN,HLA-H
908,HM13_HUMAN,HM13
909,HMR1_HUMAN,MR1
910,HPHL1_HUMAN,HEPHL1
911,HRH1_HUMAN,HRH1
912,HRH2_HUMAN,HRH2
913,HRH3_HUMAN,HRH3
914,HRH4_HUMAN,HRH4
915,HYAL2_HUMAN,HYAL2
916,HYALP_HUMAN,SPAM1
917,I10R1_HUMAN,IL10RA
918,I10R2_HUMAN,IL10RB
919,I11RA_HUMAN,IL11RA
920,I12R1_HUMAN,IL12RB1
921,I12R2_HUMAN,IL12RB2
922,I13R1_HUMAN,IL13RA1
923,I13R2_HUMAN,IL13RA2
924,I15RA_HUMAN,IL15RA
925,I17RA_HUMAN,IL17RA
926,I17RB_HUMAN,IL17RB
927,I17RC_HUMAN,IL17RC
928,I17RD_HUMAN,IL17RD
929,I17RE_HUMAN,IL17RE
930,I18RA_HUMAN,IL18RAP
931,I20RA_HUMAN,IL20RA
932,I20RB_HUMAN,IL20RB
933,I22R1_HUMAN,IL22RA1
934,I27RA_HUMAN,IL27RA
935,ICAM1_HUMAN,ICAM1
936,ICAM2_HUMAN,ICAM2
937,ICAM3_HUMAN,ICAM3
938,ICAM4_HUMAN,ICAM4
939,ICAM5_HUMAN,ICAM5
940,ICOSL_HUMAN,ICOSLG
941,ICOS_HUMAN,ICOS
942,IDD_HUMAN,DGCR2
943,IGDC3_HUMAN,IGDCC3
944,IGDC4_HUMAN,IGDCC4
945,IGF1R_HUMAN,IGF1R
946,IGFR1_HUMAN,IGFLR1
947,IGS11_HUMAN,IGSF11
948,IGSF1_HUMAN,IGSF1
949,IGSF2_HUMAN,CD101
950,IGSF3_HUMAN,IGSF3
951,IGSF5_HUMAN,IGSF5
952,IGSF6_HUMAN,IGSF6
953,IGSF8_HUMAN,IGSF8
954,IL18R_HUMAN,IL18R1
955,IL1AP_HUMAN,IL1RAP
956,IL1R1_HUMAN,IL1R1
957,IL1R2_HUMAN,IL1R2
958,IL21R_HUMAN,IL21R
959,IL23R_HUMAN,IL23R
960,IL2RA_HUMAN,IL2RA
961,IL2RB_HUMAN,IL2RB
962,IL2RG_HUMAN,IL2RG
963,IL31R_HUMAN,IL31RA
964,IL3RA_HUMAN,IL3RA
965,IL3RB_HUMAN,CSF2RB
966,IL4RA_HUMAN,IL4R
967,IL5RA_HUMAN,IL5RA
968,IL6RA_HUMAN,IL6R
969,IL6RB_HUMAN,IL6ST
970,IL7RA_HUMAN,IL7R
971,IL9R_HUMAN,IL9R
972,ILDR1_HUMAN,ILDR1
973,ILRL1_HUMAN,IL1RL1
974,ILRL2_HUMAN,IL1RL2
975,IMPG2_HUMAN,IMPG2
976,INAR1_HUMAN,IFNAR1
977,INAR2_HUMAN,IFNAR2
978,INGR1_HUMAN,IFNGR1
979,INGR2_HUMAN,IFNGR2
980,INLR1_HUMAN,IFNLR1
981,INSRR_HUMAN,INSRR
982,INSR_HUMAN,INSR
983,IRPL1_HUMAN,IL1RAPL1
984,IRPL2_HUMAN,IL1RAPL2
985,ISLR2_HUMAN,ISLR2
986,ITA10_HUMAN,ITGA10
987,ITA11_HUMAN,ITGA11
988,ITA1_HUMAN,ITGA1
989,ITA2B_HUMAN,ITGA2B
990,ITA2_HUMAN,ITGA2
991,ITA3_HUMAN,ITGA3
992,ITA4_HUMAN,ITGA4
993,ITA5_HUMAN,ITGA5
994,ITA6_HUMAN,ITGA6
995,ITA7_HUMAN,ITGA7
996,ITA8_HUMAN,ITGA8
997,ITA9_HUMAN,ITGA9
998,ITAD_HUMAN,ITGAD
999,ITAE_HUMAN,ITGAE
1000,ITAL_HUMAN,ITGAL
1001,ITAM_HUMAN,ITGAM
1002,ITAV_HUMAN,ITGAV
1003,ITAX_HUMAN,ITGAX
1004,ITB1_HUMAN,ITGB1
1005,ITB2_HUMAN,ITGB2
1006,ITB3_HUMAN,ITGB3
1007,ITB4_HUMAN,ITGB4
1008,ITB5_HUMAN,ITGB5
1009,ITB6_HUMAN,ITGB6
1010,ITB7_HUMAN,ITGB7
1011,ITB8_HUMAN,ITGB8
1012,ITLN1_HUMAN,ITLN1
1013,ITM2B_HUMAN,ITM2B
1014,ITM2C_HUMAN,ITM2C
1015,IZUM1_HUMAN,IZUMO1
1016,IZUM3_HUMAN,IZUMO3
1017,JAG1_HUMAN,JAG1
1018,JAG2_HUMAN,JAG2
1019,JAM1_HUMAN,F11R
1020,JAM2_HUMAN,JAM2
1021,JAM3_HUMAN,JAM3
1022,JUNO_HUMAN,IZUMO1R
1023,K0319_HUMAN,KIAA0319
1024,K154L_HUMAN,KIAA1549L
1025,KCJ12_HUMAN,KCNJ12
1026,KCMB1_HUMAN,KCNMB1
1027,KCMB2_HUMAN,KCNMB2
1028,KCMB3_HUMAN,KCNMB3
1029,KCMB4_HUMAN,KCNMB4
1030,KCNA3_HUMAN,KCNA3
1031,KCNG4_HUMAN,KCNG4
1032,KCNJ3_HUMAN,KCNJ3
1033,KCNJ4_HUMAN,KCNJ4
1034,KCNK5_HUMAN,KCNK5
1035,KCNKI_HUMAN,KCNK18
1036,KCNS1_HUMAN,KCNS1
1037,KCNV2_HUMAN,KCNV2
1038,KCT2_HUMAN,KCT2
1039,KELL_HUMAN,KEL
1040,KI2L1_HUMAN,KIR2DL1
1041,KI2L2_HUMAN,KIR2DL2
1042,KI2L3_HUMAN,KIR2DL3
1043,KI2L4_HUMAN,KIR2DL4
1044,KI2LA_HUMAN,KIR2DL5A
1045,KI2LB_HUMAN,KIR2DL5B
1046,KI2S1_HUMAN,KIR2DS1
1047,KI2S2_HUMAN,KIR2DS2
1048,KI2S3_HUMAN,KIR2DS3
1049,KI2S4_HUMAN,KIR2DS4
1050,KI2S5_HUMAN,KIR2DS5
1051,KI3L1_HUMAN,KIR3DL1
1052,KI3L2_HUMAN,KIR3DL2
1053,KI3L3_HUMAN,KIR3DL3
1054,KI3S1_HUMAN,KIR3DS1
1055,KIRR1_HUMAN,KIRREL1
1056,KIRR2_HUMAN,KIRREL2
1057,KIRR3_HUMAN,KIRREL3
1058,KISSR_HUMAN,KISS1R
1059,KIT_HUMAN,KIT
1060,KLOT_HUMAN,KL
1061,KLRB1_HUMAN,KLRB1
1062,KLRF1_HUMAN,KLRF1
1063,KLRF2_HUMAN,KLRF2
1064,KLRG1_HUMAN,KLRG1
1065,KREM1_HUMAN,KREMEN1
1066,KREM2_HUMAN,KREMEN2
1067,L1CAM_HUMAN,L1CAM
1068,L37A1_HUMAN,LRRC37A
1069,L37A2_HUMAN,LRRC37A2
1070,L37A3_HUMAN,LRRC37A3
1071,LAAT1_HUMAN,SLC66A1
1072,LAG3_HUMAN,LAG3
1073,LAIR1_HUMAN,LAIR1
1074,LAMP1_HUMAN,LAMP1
1075,LAMP2_HUMAN,LAMP2
1076,LAMP3_HUMAN,LAMP3
1077,LAMP5_HUMAN,LAMP5
1078,LAT1_HUMAN,SLC7A5
1079,LAT3_HUMAN,SLC43A1
1080,LAT4_HUMAN,SLC43A2
1081,LAYN_HUMAN,LAYN
1082,LBN_HUMAN,EVC2
1083,LCAP_HUMAN,LNPEP
1084,LDLR_HUMAN,LDLR
1085,LEPR_HUMAN,LEPR
1086,LEUK_HUMAN,SPN
1087,LFA3_HUMAN,CD58
1088,LFG2_HUMAN,FAIM2
1089,LGR4_HUMAN,LGR4
1090,LGR5_HUMAN,LGR5
1091,LGR6_HUMAN,LGR6
1092,LHPL1_HUMAN,LHFPL1
1093,LHPL4_HUMAN,LHFPL4
1094,LIFR_HUMAN,LIFR
1095,LIGO1_HUMAN,LINGO1
1096,LIGO2_HUMAN,LINGO2
1097,LIGO3_HUMAN,LINGO3
1098,LIGO4_HUMAN,LINGO4
1099,LIPL_HUMAN,LPL
1100,LIRA1_HUMAN,LILRA1
1101,LIRA2_HUMAN,LILRA2
1102,LIRA4_HUMAN,LILRA4
1103,LIRA5_HUMAN,LILRA5
1104,LIRA6_HUMAN,LILRA6
1105,LIRB1_HUMAN,LILRB1
1106,LIRB2_HUMAN,LILRB2
1107,LIRB3_HUMAN,LILRB3
1108,LIRB5_HUMAN,LILRB5
1109,LMA2L_HUMAN,LMAN2L
1110,LMAN2_HUMAN,LMAN2
1111,LMBD1_HUMAN,LMBRD1
1112,LMBD2_HUMAN,LMBRD2
1113,LMBR1_HUMAN,LMBR1
1114,LMBRL_HUMAN,LMBR1L
1115,LMIP_HUMAN,LIM2
1116,LPAR1_HUMAN,LPAR1
1117,LPAR2_HUMAN,LPAR2
1118,LPAR3_HUMAN,LPAR3
1119,LPAR4_HUMAN,LPAR4
1120,LPAR5_HUMAN,LPAR5
1121,LPAR6_HUMAN,LPAR6
1122,LPD6B_HUMAN,LYPD6B
1123,LPH_HUMAN,LCT
1124,LR37B_HUMAN,LRRC37B
1125,LRAD3_HUMAN,LDLRAD3
1126,LRAD4_HUMAN,LDLRAD4
1127,LRC15_HUMAN,LRRC15
1128,LRC19_HUMAN,LRRC19
1129,LRC24_HUMAN,LRRC24
1130,LRC25_HUMAN,LRRC25
1131,LRC32_HUMAN,LRRC32
1132,LRC38_HUMAN,LRRC38
1133,LRC3B_HUMAN,LRRC3B
1134,LRC4B_HUMAN,LRRC4B
1135,LRC4C_HUMAN,LRRC4C
1136,LRC52_HUMAN,LRRC52
1137,LRFN1_HUMAN,LRFN1
1138,LRFN2_HUMAN,LRFN2
1139,LRFN3_HUMAN,LRFN3
1140,LRFN4_HUMAN,LRFN4
1141,LRFN5_HUMAN,LRFN5
1142,LRIG1_HUMAN,LRIG1
1143,LRIG2_HUMAN,LRIG2
1144,LRIG3_HUMAN,LRIG3
1145,LRIT1_HUMAN,LRIT1
1146,LRIT2_HUMAN,LRIT2
1147,LRIT3_HUMAN,LRIT3
1148,LRN4L_HUMAN,LRRN4CL
1149,LRP10_HUMAN,LRP10
1150,LRP11_HUMAN,LRP11
1151,LRP12_HUMAN,LRP12
1152,LRP1B_HUMAN,LRP1B
1153,LRP1_HUMAN,LRP1
1154,LRP2_HUMAN,LRP2
1155,LRP3_HUMAN,LRP3
1156,LRP4_HUMAN,LRP4
1157,LRP5_HUMAN,LRP5
1158,LRP6_HUMAN,LRP6
1159,LRP8_HUMAN,LRP8
1160,LRRC4_HUMAN,LRRC4
1161,LRRN1_HUMAN,LRRN1
1162,LRRN2_HUMAN,LRRN2
1163,LRRN3_HUMAN,LRRN3
1164,LRRN4_HUMAN,LRRN4
1165,LRRT2_HUMAN,LRRTM2
1166,LRRT3_HUMAN,LRRTM3
1167,LRRT4_HUMAN,LRRTM4
1168,LRTM1_HUMAN,LRTM1
1169,LRTM2_HUMAN,LRTM2
1170,LSAMP_HUMAN,LSAMP
1171,LSHR_HUMAN,LHCGR
1172,LSME1_HUMAN,LSMEM1
1173,LT4R1_HUMAN,LTB4R
1174,LT4R2_HUMAN,LTB4R2
1175,LTK_HUMAN,LTK
1176,LY66C_HUMAN,LY6G6C
1177,LY66D_HUMAN,LY6G6D
1178,LY66F_HUMAN,LY6G6F
1179,LY6D_HUMAN,LY6D
1180,LY6E_HUMAN,LY6E
1181,LY6H_HUMAN,LY6H
1182,LY6K_HUMAN,LY6K
1183,LY75_HUMAN,LY75
1184,LY9_HUMAN,LY9
1185,LYAM1_HUMAN,SELL
1186,LYAM2_HUMAN,SELE
1187,LYAM3_HUMAN,SELP
1188,LYNX1_HUMAN,LYNX1
1189,LYPD1_HUMAN,LYPD1
1190,LYPD2_HUMAN,LYPD2
1191,LYPD3_HUMAN,LYPD3
1192,LYPD4_HUMAN,LYPD4
1193,LYPD5_HUMAN,LYPD5
1194,LYPD8_HUMAN,LYPD8
1195,LYSM3_HUMAN,LYSMD3
1196,LYVE1_HUMAN,LYVE1
1197,M4A15_HUMAN,MS4A15
1198,M4A6A_HUMAN,MS4A6A
1199,MADL2_HUMAN,MYADML2
1200,MAG_HUMAN,MAG
1201,MALR1_HUMAN,MALRD1
1202,MANS1_HUMAN,MANSC1
1203,MANS4_HUMAN,MANSC4
1204,MAS1L_HUMAN,MAS1L
1205,MAS_HUMAN,MAS1
1206,MC3R_HUMAN,MC3R
1207,MC4R_HUMAN,MC4R
1208,MC5R_HUMAN,MC5R
1209,MCHR1_HUMAN,MCHR1
1210,MCHR2_HUMAN,MCHR2
1211,MCLN1_HUMAN,MCOLN1
1212,MCP_HUMAN,CD46
1213,MDGA1_HUMAN,MDGA1
1214,MDGA2_HUMAN,MDGA2
1215,MDR1_HUMAN,ABCB1
1216,MDR3_HUMAN,ABCB4
1217,MEG10_HUMAN,MEGF10
1218,MEG11_HUMAN,MEGF11
1219,MEGF8_HUMAN,MEGF8
1220,MEGF9_HUMAN,MEGF9
1221,MEP1A_HUMAN,MEP1A
1222,MEP1B_HUMAN,MEP1B
1223,MER34_HUMAN,ERVMER34-1
1224,MERTK_HUMAN,MERTK
1225,MET_HUMAN,MET
1226,MFA3L_HUMAN,MFAP3L
1227,MFAP3_HUMAN,MFAP3
1228,MFRP_HUMAN,MFRP
1229,MFS11_HUMAN,MFSD11
1230,MFS12_HUMAN,MFSD12
1231,MFS2B_HUMAN,MFSD2B
1232,MFS6L_HUMAN,MFSD6L
1233,MFSD5_HUMAN,MFSD5
1234,MFSD6_HUMAN,MFSD6
1235,MFSD8_HUMAN,MFSD8
1236,MICA_HUMAN,MICA
1237,MICB_HUMAN,MICB
1238,MILR1_HUMAN,MILR1
1239,MIP_HUMAN,MIP
1240,MKS3_HUMAN,TMEM67
1241,MMEL1_HUMAN,MMEL1
1242,MMP14_HUMAN,MMP14
1243,MMP16_HUMAN,MMP16
1244,MMP17_HUMAN,MMP17
1245,MMP25_HUMAN,MMP25
1246,MO2R1_HUMAN,CD200R1
1247,MO2R2_HUMAN,CD200R1L
1248,MOG_HUMAN,MOG
1249,MOT12_HUMAN,SLC16A12
1250,MOT1_HUMAN,SLC16A1
1251,MOT2_HUMAN,SLC16A7
1252,MOT3_HUMAN,SLC16A8
1253,MOT5_HUMAN,SLC16A4
1254,MOT6_HUMAN,SLC16A5
1255,MOT7_HUMAN,SLC16A6
1256,MPEG1_HUMAN,MPEG1
1257,MPRD_HUMAN,M6PR
1258,MPRI_HUMAN,IGF2R
1259,MPZL1_HUMAN,MPZL1
1260,MPZL2_HUMAN,MPZL2
1261,MPZL3_HUMAN,MPZL3
1262,MRC1_HUMAN,MRC1
1263,MRC2_HUMAN,MRC2
1264,MRGRD_HUMAN,MRGPRD
1265,MRGRE_HUMAN,MRGPRE
1266,MRGRF_HUMAN,MRGPRF
1267,MRGRG_HUMAN,MRGPRG
1268,MRGX1_HUMAN,MRGPRX1
1269,MRGX2_HUMAN,MRGPRX2
1270,MRGX3_HUMAN,MRGPRX3
1271,MRGX4_HUMAN,MRGPRX4
1272,MRP1_HUMAN,ABCC1
1273,MRP2_HUMAN,ABCC2
1274,MRP3_HUMAN,ABCC3
1275,MRP4_HUMAN,ABCC4
1276,MRP5_HUMAN,ABCC5
1277,MRP7_HUMAN,ABCC10
1278,MRP9_HUMAN,ABCC12
1279,MSHR_HUMAN,MC1R
1280,MSLNL_HUMAN,MSLNL
1281,MSLN_HUMAN,MSLN
1282,MSRE_HUMAN,MSR1
1283,MTLR_HUMAN,MLNR
1284,MTR1A_HUMAN,MTNR1A
1285,MTR1B_HUMAN,MTNR1B
1286,MTR1L_HUMAN,GPR50
1287,MUC12_HUMAN,MUC12
1288,MUC13_HUMAN,MUC13
1289,MUC15_HUMAN,MUC15
1290,MUC16_HUMAN,MUC16
1291,MUC17_HUMAN,MUC17
1292,MUC18_HUMAN,MCAM
1293,MUC1_HUMAN,MUC1
1294,MUC21_HUMAN,MUC21
1295,MUC22_HUMAN,MUC22
1296,MUC24_HUMAN,CD164
1297,MUC3A_HUMAN,MUC3A
1298,MUC3B_HUMAN,MUC3B
1299,MUC4_HUMAN,MUC4
1300,MUCEN_HUMAN,EMCN
1301,MUSK_HUMAN,MUSK
1302,MXRA8_HUMAN,MXRA8
1303,MYADM_HUMAN,MYADM
1304,MYCT_HUMAN,SLC2A13
1305,MYOF_HUMAN,MYOF
1306,MYP0_HUMAN,MPZ
1307,MYPR_HUMAN,PLP1
1308,NAC1_HUMAN,SLC8A1
1309,NAC2_HUMAN,SLC8A2
1310,NAC3_HUMAN,SLC8A3
1311,NAGPA_HUMAN,NAGPA
1312,NALCN_HUMAN,NALCN
1313,NALDL_HUMAN,NAALADL1
1314,NAR1_HUMAN,ART1
1315,NAR3_HUMAN,ART3
1316,NAR4_HUMAN,ART4
1317,NCAM1_HUMAN,NCAM1
1318,NCAM2_HUMAN,NCAM2
1319,NCHL1_HUMAN,CHL1
1320,NCKX2_HUMAN,SLC24A2
1321,NCKX3_HUMAN,SLC24A3
1322,NCKX4_HUMAN,SLC24A4
1323,NCKX5_HUMAN,SLC24A5
1324,NCMAP_HUMAN,NCMAP
1325,NCTR1_HUMAN,NCR1
1326,NCTR2_HUMAN,NCR2
1327,NCTR3_HUMAN,NCR3
1328,NEGR1_HUMAN,NEGR1
1329,NEO1_HUMAN,NEO1
1330,NEP_HUMAN,MME
1331,NETO1_HUMAN,NETO1
1332,NETO2_HUMAN,NETO2
1333,NFAM1_HUMAN,NFAM1
1334,NFASC_HUMAN,NFASC
1335,NICA_HUMAN,NCSTN
1336,NIPA3_HUMAN,NIPAL1
1337,NIPA4_HUMAN,NIPAL4
1338,NK1R_HUMAN,TACR1
1339,NK2R_HUMAN,TACR2
1340,NK3R_HUMAN,TACR3
1341,NKAI1_HUMAN,NKAIN1
1342,NKAI2_HUMAN,NKAIN2
1343,NKAI3_HUMAN,NKAIN3
1344,NKG2A_HUMAN,KLRC1
1345,NKG2C_HUMAN,KLRC2
1346,NKG2D_HUMAN,KLRK1
1347,NKG2E_HUMAN,KLRC3
1348,NLGN1_HUMAN,NLGN1
1349,NLGN2_HUMAN,NLGN2
1350,NLGN3_HUMAN,NLGN3
1351,NLGNX_HUMAN,NLGN4X
1352,NLGNY_HUMAN,NLGN4Y
1353,NLS1_HUMAN,MFSD2A
1354,NMBR_HUMAN,NMBR
1355,NMD3A_HUMAN,GRIN3A
1356,NMD3B_HUMAN,GRIN3B
1357,NMDE1_HUMAN,GRIN2A
1358,NMDE2_HUMAN,GRIN2B
1359,NMDE3_HUMAN,GRIN2C
1360,NMDE4_HUMAN,GRIN2D
1361,NMDZ1_HUMAN,GRIN1
1362,NMUR1_HUMAN,NMUR1
1363,NMUR2_HUMAN,NMUR2
1364,NOTC1_HUMAN,NOTCH1
1365,NOTC2_HUMAN,NOTCH2
1366,NOTC3_HUMAN,NOTCH3
1367,NOTC4_HUMAN,NOTCH4
1368,NOX4_HUMAN,NOX4
1369,NPAL2_HUMAN,NIPAL2
1370,NPAL3_HUMAN,NIPAL3
1371,NPBW1_HUMAN,NPBWR1
1372,NPBW2_HUMAN,NPBWR2
1373,NPC1_HUMAN,NPC1
1374,NPCL1_HUMAN,NPC1L1
1375,NPFF1_HUMAN,NPFFR1
1376,NPFF2_HUMAN,NPFFR2
1377,NPHN_HUMAN,NPHS1
1378,NPSR1_HUMAN,NPSR1
1379,NPT1_HUMAN,SLC17A1
1380,NPT2A_HUMAN,SLC34A1
1381,NPT2B_HUMAN,SLC34A2
1382,NPT2C_HUMAN,SLC34A3
1383,NPTN_HUMAN,NPTN
1384,NPY1R_HUMAN,NPY1R
1385,NPY2R_HUMAN,NPY2R
1386,NPY4R_HUMAN,NPY4R
1387,NPY5R_HUMAN,NPY5R
1388,NPY6R_HUMAN,NPY6R
1389,NR3L1_HUMAN,NCR3LG1
1390,NRAM1_HUMAN,SLC11A1
1391,NRAM2_HUMAN,SLC11A2
1392,NRCAM_HUMAN,NRCAM
1393,NRG1_HUMAN,NRG1
1394,NRG2_HUMAN,NRG2
1395,NRG4_HUMAN,NRG4
1396,NRN1L_HUMAN,NRN1L
1397,NRN1_HUMAN,NRN1
1398,NRP1_HUMAN,NRP1
1399,NRP2_HUMAN,NRP2
1400,NRX1A_HUMAN,NRXN1
1401,NRX1B_HUMAN,NRXN1
1402,NRX2A_HUMAN,NRXN2
1403,NRX2B_HUMAN,NRXN2
1404,NRX3A_HUMAN,NRXN3
1405,NRX3B_HUMAN,NRXN3
1406,NTCP2_HUMAN,SLC10A2
1407,NTCP4_HUMAN,SLC10A4
1408,NTCP5_HUMAN,SLC10A5
1409,NTCP_HUMAN,SLC10A1
1410,NTNG1_HUMAN,NTNG1
1411,NTNG2_HUMAN,NTNG2
1412,NTR1_HUMAN,NTSR1
1413,NTR2_HUMAN,NTSR2
1414,NTRI_HUMAN,NTM
1415,NTRK1_HUMAN,NTRK1
1416,NTRK2_HUMAN,NTRK2
1417,NTRK3_HUMAN,NTRK3
1418,O10A2_HUMAN,OR10A2
1419,O10A3_HUMAN,OR10A3
1420,O10A4_HUMAN,OR10A4
1421,O10A5_HUMAN,OR10A5
1422,O10A6_HUMAN,OR10A6
1423,O10A7_HUMAN,OR10A7
1424,O10AC_HUMAN,OR10AC1
1425,O10AD_HUMAN,OR10AD1
1426,O10AG_HUMAN,OR10AG1
1427,O10C1_HUMAN,OR10C1
1428,O10D3_HUMAN,OR10D3
1429,O10D4_HUMAN,OR10D4P
1430,O10G2_HUMAN,OR10G2
1431,O10G3_HUMAN,OR10G3
