,From,To
164,AT135_HUMAN,ATP13A5
165,AT1A1_HUMAN,ATP1A1
166,AT1A2_HUMAN,ATP1A2
167,AT1A3_HUMAN,ATP1A3
168,AT1A4_HUMAN,ATP1A4
169,AT1B1_HUMAN,ATP1B1
170,AT1B2_HUMAN,ATP1B2
171,AT1B3_HUMAN,ATP1B3
172,AT1B4_HUMAN,ATP1B4
173,AT2B2_HUMAN,ATP2B2
174,AT2B3_HUMAN,ATP2B3
175,AT2B4_HUMAN,ATP2B4
176,ATG9A_HUMAN,ATG9A
177,ATP4B_HUMAN,ATP4B
178,ATRN1_HUMAN,ATRNL1
179,ATRN_HUMAN,ATRN
180,AVR2A_HUMAN,ACVR2A
181,AVR2B_HUMAN,ACVR2B
182,B3AT_HUMAN,SLC4A1
183,BACE1_HUMAN,BACE1
184,BACE2_HUMAN,BACE2
185,BAMBI_HUMAN,BAMBI
186,BASI_HUMAN,BSG
187,BAT1_HUMAN,SLC7A9
188,BCAM_HUMAN,BCAM
189,BEST2_HUMAN,BEST2
190,BEST4_HUMAN,BEST4
191,BKRB1_HUMAN,BDKRB1
192,BKRB2_HUMAN,BDKRB2
193,BMPR2_HUMAN,BMPR2
194,BMR1A_HUMAN,BMPR1A
195,BOC_HUMAN,BOC
196,BRS3_HUMAN,BRS3
197,BST1_HUMAN,BST1
198,BST2_HUMAN,BST2
199,BT1A1_HUMAN,BTN1A1
200,BT2A1_HUMAN,BTN2A1
201,BT2A2_HUMAN,BTN2A2
202,BT2A3_HUMAN,BTN2A3P
203,BT3A1_HUMAN,BTN3A1
204,BT3A2_HUMAN,BTN3A2
205,BT3A3_HUMAN,BTN3A3
206,BTC_HUMAN,BTC
207,BTLA_HUMAN,BTLA
208,BTNL3_HUMAN,BTNL3
209,BTNL9_HUMAN,BTNL9
210,BTNLA_HUMAN,BTNL10
211,BY55_HUMAN,CD160
212,C163A_HUMAN,CD163
213,C163B_HUMAN,CD163L1
214,C16L2_HUMAN,CD164L2
215,C1QR1_HUMAN,CD93
216,C3AR_HUMAN,C3AR1
217,C5AR1_HUMAN,C5AR1
218,C5AR2_HUMAN,C5AR2
219,CA159_HUMAN,C1orf159
